سورہ نمبر,فعل (Verb),معنی (Meaning),حروف اصلی (Root Letters),مادہ/اصل کے مختلف اردو معانی,اردو میں مستعمل لفظ/جملے,عربی مثال,ترجمہ (مثال کا),صرفی و نحوی وضاحت
1,نَعْبُدُ,ہم عبادت کرتے ہیں,عبد,بندہ، غلام، نوکر,عبادت کرنا، بندگی کرنا، عبدیت,نحن نعبد الله وحده,ہم صرف اللہ کی عبادت کرتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
1,نَسْتَعِينُ,ہم مدد چاہتے ہیں,عون,مدد، امداد، سہارا,مدد کرنا، اعانت کرنا، سہارا دینا,نحن نستعين بالله في كل أمورنا,ہم اپنے تمام معاملات میں اللہ کی مدد چاہتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
2,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
2,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
2,خَتَمَ,مہر لگادیں,ختم,ختم کرنا& مکمل کرنا,ختم کرنا، مہر لگانا، اختتام کرنا,خَتَمَ الرسول القرآن بتلاوته,رسول نے قرآن کی تلاوت سے مہر لگادی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَقُولُ,کہتے ہیں,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,يَقُولُ الحكيم: العلم نور,حکیم کہتے ہیں: علم روشنی ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,قِيلَ,کہا جاتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قِيلَ له: الحق مع الجماعة,اسے کہا گیا: حق جماعت کے ساتھ ہے,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
2,قِيلَ,کہا جاتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قِيلَ له: الحق مع الجماعة,اسے کہا گیا: حق جماعت کے ساتھ ہے,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
2,ءَامَنَ,ایمان لائے,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,ءَامَنَ بالله ورسوله,اس نے اللہ اور اس کے رسول پر ایمان لایا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,ءَامَنَ,ایمان لائے,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,ءَامَنَ بالله ورسوله,اس نے اللہ اور اس کے رسول پر ایمان لایا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَسْتَهْزِئُ,مذاق کرے گا / مذاق کرتا ہے,هزأ,مذاق اڑانا، ٹھٹھا مارنا، ہنسی اڑانا,مذاق کرنا، طنز کرنا، ہنسی اڑانا,يَسْتَهْزِئُ بالناس عندما يتكلمون,وہ لوگوں کا مذاق اڑاتا ہے جب وہ بات کرتے ہیں,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,رَبِحَت,فائدہ مند ہوئی / فائدہ دیا,ربح,منافع& فائدہ,فائدہ کرنا، منافع حاصل کرنا، ربح کرنا,رَبِحَت المرأة من تجارتها,عورت نے اپنے تجارت سے فائدہ مند ہوئی,فعل ماضی، معروف
2,ٱسْتَوْقَدَ,جس نے جلائی,وقد,جلانا، روشنی، آگ,جلانا، آگ لگانا، شعلہ بھڑکانا,ٱسْتَوْقَدَ النار للطبخ,اس نے پکانے کے لیے آگ جلائی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أَضَآءَتْ,اس نے روشن کردیا,ضوأ,روشنی& چمک,روشن کرنا، چمکانا، اجالا کرنا,أَضَآءَتْ الشمس الأرض,سورج نے زمین کو روشن کردیا,فعل ماضی، معروف
2,ذَهَبَ,لے گیا,ذهب,سونا، زر، ذہب,لے جانا، آپنے پاس لے گانا، چھین لے جانا,ذَهَبَ بالكتاب إلى البيت,اس نے کتاب کو گھر لے گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَكَادُ,قریب ہے,كود,لگنے والے، قریب، کوشش کرنے والے,قریب ہونا، کنارے پہ ہونا، نزدیک ہونا,يَكَادُ السفينة تغرق,جہاز ڈوبنے کے قریب ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,يَخْطَفُ,اچک لے / چھین لے,خطف,چھیننا,چھیننا، اچک لینا، زبردستی حاصل کرنا,يَخْطَفُ اللص المال,چور مال اچک لے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,أَضَآءَ,اس نے روشنی کی,ضوأ,روشنی& چمک,روشنی دینا، چمکانا، اجالا کرنا,أَضَآءَ القمر الليل,چاند نے رات کو روشن کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أَظْلَمَ,اس نے اندھیرا کیا,ظلم,ظلم، ظلمت، اندھیرا,اندھیرا کرنا، تاریکی پھیلانا، روشنی روکنا,أَظْلَمَ الغيم السماء,بادل نے آسمان کو اندھیرا کردیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,شَآءَ,چاہے,شيأ,چیز، شے، مواد,چاہنا، ارادہ کرنا، خواہش کرنا,شَآءَ أن يذهب إلى السوق,اس نے بازار جانے کا ارادہ کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,جَعَلَ,جس نے بنایا,جعل,بنانا، تشکیل دینا، ڈالنا,بنانا، تشکیل دینا، مواد کو ترتیب دینا,جَعَلَ الله الإنسان من طين,اللہ نے انسان کو مٹی سے بنایا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أُعِدَّتْ,تیار کی گئی ہے,عدد,تعداد، گنتی، شمار,تیار کرنا، انتظام کرنا، ترتیب دینا,أُعِدَّتْ الطعام للضيوف,مہمانوں کے لیے کھانا تیار کی گئی ہے,فعل ماضی، مجہول
2,تَجْرِى,بہتی ہیں,جري,بہنا& چلنا,بہنا، روانہ ہونا، گزرنا,تَجْرِى الأنهار في الأرض,دریا زمین میں بہتے ہیں,فعل مضارع، معروف، مرفوع
2,يَسْتَحْىِۦٓ,حیا فرمایا,حيي,زندہ کرنا، ہمیشہ رہنا، حیات,حیا کرنا، شرم کرنا، شرمندگی,هو يستحي من القول,وہ بات کرنے سے شرماتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,يَضْرِبَ,وہ بیان کرے,ضرب,ضرب کرنا، مارنا، تشدد کرنا,بیان کرنا، ضرب کرنا، مثال دینا,هو يضرب مثلا,وہ مثال بیان کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
2,أَرَادَ,ارادہ کیا/ چاہا,رود,چاہنا، خواہش,ارادہ کرنا، چاہنا، خواہش کرنا,هو أراد الخروج,وہ باہر جانے کا ارادہ کرتا تھا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يُضِلُّ,وہ گمراہ کرتا ہے,ضلل,گمراہ ہونا، گم کردہ راستہ، بھٹک جانا,گمراہ کرنا، بھٹکنا، خطا کرنا,هو يضل الناس,وہ لوگوں کو گمراہ کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,يُضِلُّ,وہ گمراہ کرتا ہے,ضلل,گمراہ ہونا، گم کردہ راستہ، بھٹک جانا,گمراہ کرنا، بھٹکنا، خطا کرنا,هو يضل الناس,وہ لوگوں کو گمراہ کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,أَمَرَ,حکم دیا,أمر,حکم، اختیار، سلطنت,حکم دینا، آمر ہونا، فرمان برداری کرنا,هو أمر بالخروج,اس نے باہر جانے کا حکم دیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يُوصَلَ,وہ جوڑا جائے / ملایا جائے,وصل,ملاقات، رابطہ، کنکشن,ملنا، جوڑنا، رابطہ کرنا,هو يوصل إلى المدينة,وہ شہر سے ملایا جائے گا,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، منصوب
2,خَلَقَ,پیدا کیا,خلق,پیدا کرنا، تخلیق، تشکیل,پیدا کرنا، تخلیق کرنا، بنانا,هو خلق الإنسان,اس نے انسان کو پیدا کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,ٱسْتَوَىٰٓ,وہ متوجہ ہوا / ارادہ کیا,سوي,برابری، مساوات، یکسانی,متوجہ ہونا، ارادہ کرنا، سیدھا ہونا,هو استوى على العرش,وہ تخت پر متوجہ ہوا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يُفْسِدُ,فساد کرے گا,فسد,خراب کرنا، بگاڑنا، تباہ کرنا,فساد کرنا، بگاڑنا، تباہ کرنا,هو يفسد في الأرض,وہ زمین میں فساد کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,نُسَبِّحُ,ہم تسبیح کرتے ہیں,سبح,تیراکی کرنا,تسبیح کرنا، بندگی کرنا، ستائش کرنا,نحن نسبح الله,ہم اللہ کی تسبیح کرتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
2,قَالَ,فرمایا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أَعْلَمُ,میں جانتا ہوں,علم,علم، معرفت، شناخت,جاننا، علم رکھنا، معلوم ہونا,أنا أعلم الحق,میں سچ جانتا ہوں,فعل مضارع، معروف، صیغہ اول واحد، مرفوع
2,قَالَ,فرمایا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,قَالَ,فرمایا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أَقُل,میں نے کہا تھا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,أنا أقول الحق,میں نے سچ کہا تھا,فعل مضارع، معروف، صیغہ اول واحد، مجزوم
2,أَعْلَمُ,میں جانتا ہوں,علم,علم، معرفت، شناخت,جاننا، علم رکھنا، معلوم ہونا,أنا أعلم الحق,میں سچ جانتا ہوں,فعل مضارع، معروف، صیغہ اول واحد، مرفوع
2,أَبَىٰ,اس نے انکار کیا,أبي,میرے والد,انکار کرنا، تردید کرنا، ماننے سے انکار کرنا,هو أبى الخروج,اس نے باہر جانے سے انکار کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,ٱسْكُنْ,تم رہو,سكن,رہائش، قیام، استقرار,رہنا، سکونت کرنا، قیام کرنا,أنت ٱسكن في البيت,تم گھر میں رہو,فعل امر، معروف، صیغہ دوم مذکر واحد
2,تَبِعَ,پیروی کی,تبع,پیروی، تعقیب، اتباع,پیروی کرنا، تعقیب کرنا، اتباع کرنا,هو تبع الحق,اس نے حق کی پیروی کی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أُوفِ,میں پورا کروں گا,وفي,پورا کرنا، پوری کہی گئی بات کو مکمل کرنا,پورا کرنا، عہد پورا کرنا، وفا کرنا,أنا أوفي العهد,میں عہد پورا کروں گا,فعل مضارع، معروف، صیغہ اول واحد، مجزوم
2,تَجْزِى,کام آئے گا / بدلہ بنے گا,جزي,جزا، بدلہ، معاوضہ,کام آنا، بدلہ بننا، مکافات ملنا,هي تجزى بالخير,وہ بھلائی کا بدلہ بنے گی,فعل مضارع، معروف، مرفوع
2,يُقْبَلُ,قبول کی جائے گی,قبل,پہلے، قبل، اگلے,قبول کرنا، منظور کرنا، تسلیم کرنا,هو يقبل الهدية,تحفہ قبول کیا جائے گا,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، مرفوع
2,يُؤْخَذُ,لیا جائے گا,أخذ,لینا، گرفت، سمجھنا,لے لینا، اختیار کرنا، قبضہ کرنا,هو يؤخذ الكتاب,کتاب لیا جائے گا,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، مرفوع
2,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,نُّؤْمِنَ,ہم ایمان لائیں گے / ہم اعتبار کریں گے,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,نحن نؤمن بالله ورسوله,ہم اللہ اور اس کے رسول پر ایمان لاتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
2,نَرَى,ہم دیکھ لیں,رأي,دیکھنا، مشاہدہ کرنا، نظر آنا,دیکھنا، نظر کرنا، مشاہدہ کرنا,نحن نرى الحقيقة كما هي,ہم حقیقت کو اسی طرح دیکھتے ہیں جیسا یہ ہے,فعل مضارع، معروف، صیغہ اول جمع، منصوب
2,نَّغْفِرْ,ہم بخش دیں گے,غفر,معاف کرنے والا، بخشنے والا، کشف کرنے والا,معاف کرنا، بخشنا، غفران کرنا,نحن نغفر لمن أساء لنا,ہم ان لوگوں کو بخش دیتے ہیں جنہوں نے ہماری برا کی ہے,فعل مضارع، معروف، صیغہ اول جمع، مجزوم
2,قِيلَ,کہی گئی تھی,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قِيلَ له: الحق مع الجماعة,اسے کہا گیا: حق جماعت کے ساتھ ہے,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
2,ٱسْتَسْقَىٰ,پانی مانگا,سقي,پانی پلانا,پانی مانگنا، پانی کی طلب کرنا,الرجل استسقى الماء لأجل الزراعة,آدمی نے کاشت کے لئے پانی مانگا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,ٱضْرِب,مارو,ضرب,ضرب کرنا، مارنا، تشدد کرنا,مارنا، ضرب لگانا، بجانا,اضرب الطبول,ڈھول بجاؤ,فعل امر، معروف، صیغہ دوم مذکر واحد
2,عَلِمَ,جان لیا,علم,علم، معرفت، شناخت,جاننا، علم حاصل کرنا، سیکھنا,الرجل علم الحقيقة,آدمی نے حقیقت جان لی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,نَّصْبِرَ,ہم صبر کریں گے,صبر,صبر، ثبات، استقامت,صبر کرنا، ثابت قدم رہنا، برداشت کرنا,نحن نصبر على المشاكل,ہم مشکلات پر صبر کرتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
2,يُخْرِجْ,وہ نکالے,خرج,نکلنا، باہر نکلنا، خارج کرنا,نکالنا، خارج کرنا، باہر لے جانا,الرجل يخرج القمامة من المنزل,وہ آدمی گھر سے کچرہ نکالتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
2,تُنۢبِتُ,اگاتی ہے,نبت,نشو و نما، اگنے کا عمل، پودوں کی افزائش,اگانا، پودا لگانا، پیدا کرنا,الأرض تنبت الزهور,زمین پھول اگاتی ہے,فعل مضارع، معروف، مرفوع
2,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,ءَامَنَ,ایمان لایا,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,ءَامَنَ بالله ورسوله,اس نے اللہ اور اس کے رسول پر ایمان لایا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,قَالَ,اس نے کہا ( موسیٰ ),قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,أَعُوذُ,میں پناہ مانگتا ہوں,عوذ,پناہ لینا، بچانے کی کوشش کرنا، حفاظت کرنا,پناہ مانگنا، حفاظت طلب کرنا، سرپرستی چاہنا,أعوذ بالله من الشيطان الرجيم,میں اللہ کی پناہ مانگتا ہوں شیطان رجیم سے,فعل مضارع، معروف، صیغہ اول واحد، مرفوع
2,أَكُونَ,میں ہوجاؤں,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، بننا، موجود ہونا,أكون سعيدا إذا فزت,میں خوش ہوجاؤں گا اگر میں جیت گیا,فعل مضارع، معروف، صیغہ اول واحد، منصوب
2,ٱدْعُ,دعا کرو,دعو,دعوت، بلانا، اپیل، مطالبہ,دعا کرنا، التجا کرنا، فریاد کرنا,ادع الله في كل حين,ہر وقت اللہ سے دعا کرو,فعل امر، معروف، صیغہ دوم مذکر واحد
2,يُبَيِّن,وہ بیان کرے / وہ واضح کرے,بين,درمیان، مابین، بچھ میں,بیان کرنا، واضح کرنا، ظاہر کرنا,الرجل يبين الحقائق,وہ آدمی حقائق کو بیان کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
2,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَقُولُ,وہ فرماتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,يَقُولُ الحكيم: العلم نور,حکیم کہتے ہیں: علم روشنی ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,ٱدْعُ,دعا کرو,دعو,دعوت، بلانا، اپیل، مطالبہ,دعا کرنا، التجا کرنا، فریاد کرنا,ادع الله في كل حين,ہر وقت اللہ سے دعا کرو,فعل امر، معروف، صیغہ دوم مذکر واحد
